CO2,SpO2,MABP,HbD40,HbT40,CCO40,time
5.3,98,39.0118468629423,0,0,0,0
5.3,98,38.8967740536185,-0.185067648014614,-0.188114590329441,-0.0400872270089714,1
5.3,98,38.817509851627,-0.3518639478415,-0.331426036799062,-0.0710344778011871,2
5.3,98,38.7688863964764,-0.500488531319139,-0.434371679497872,-0.0936186883899923,3
5.3,98,38.7457358276754,-0.631041030286023,-0.501388858514904,-0.108616794788733,4
5.29999999999999,97.9999999999999,38.7428902847327,-0.743621076580629,-0.536914913939164,-0.116805733010749,5
5.3,97.9999999999999,38.7551819071569,-0.83832830204145,-0.545387185859695,-0.118962439069385,6
5.3,97.9999999999999,38.7774428344566,-0.915262338506962,-0.531243014365501,-0.115863848977989,7
5.3,98,38.8045052061405,-0.974522817815657,-0.498919739545613,-0.108286898749895,8
5.3,97.9999999999999,38.8312011617173,-1.01620937180601,-0.452854701489034,-0.0970085243984515,9
5.3,97.9999999999999,38.8523628406955,-1.04042163231651,-0.397485240284801,-0.0828056619370026,10
5.3,97.9999999999999,38.8193736081031,-1.04820883484443,-0.369436166412441,-0.0645195786333339,11
5.3,97.9999999999999,38.778933257907,-1.05039876384673,-0.312768945219577,-0.0543022770105237,12
5.3,97.9999999999999,38.7343108322777,-1.00519465728242,-0.276629792036289,-0.0351489772674292,13
5.3,97.9999999999999,38.6887753733859,-0.939179719587039,-0.231170130392606,-0.0203920987722457,14
5.3,97.9999999999999,38.6062984609962,-0.865402424734483,-0.196160841472469,-0.00637584457336171,15
5.3,97.9999999999999,38.4621445555124,-0.777821834461013,-0.174450844065355,0.00795511571136931,16
5.3,97.9999999999999,38.3228469654094,-0.685001268616405,-0.152952621705655,0.0220636520444,17
5.3,97.9999999999999,38.2232462099542,-0.586980952798179,-0.128433929321588,0.0320466983599133,18
5.3,97.9999999999999,38.1323831189727,-0.499967070386006,-0.113078390540245,0.0467527030077832,19
5.3,97.9999999999999,38.0535267346355,-0.40525821533302,-0.103434898138687,0.0561223109929543,20
5.3,97.9999999999999,37.9899460991133,-0.312017674742299,-0.0998287984140873,0.0597266425592258,21
5.3,97.9999999999999,37.9449102545766,-0.236434985384609,-0.0996643527755623,0.0624105178353904,22
5.3,97.9999999999999,37.9216882431963,-0.172457377938115,-0.119642282831194,0.0621673893683958,23
5.3,97.9999999999999,37.9235491071428,-0.140914613286351,-0.125835846385378,0.0514880845848165,24
5.3,97.9999999999999,37.9537618885869,-0.122487756664612,-0.131523039939044,0.038026114966847,25
5.3,97.9999999999999,38,-0.138285781927499,-0.155581499789928,0.0286020855067362,26
5.3,97.9999999999999,38.0362126950462,-0.163064760415928,-0.181082164908688,0.0214342388552495,27
5.3,97.9999999999999,38.0719951522496,-0.207336587248044,-0.21739405020142,0.0175873702410145,28
5.3,97.9999999999999,38.0788394102967,-0.280517601562328,-0.241317633848006,0.00947185589555311,29
5.3,97.9999999999999,38.0600145113579,-0.362173199815656,-0.257921341136704,0.000203996521307204,30
5.3,97.9999999999999,37.9879214473086,-0.430551981698829,-0.272189596843276,0.0029068017581757,31
5.3,97.9999999999999,37.888813656623,-0.47769401132498,-0.252419897694136,0.00352260837668794,32
5.3,97.9999999999999,37.7748988590245,-0.470619031146161,-0.230418860274121,0.0134565563812306,33
5.3,97.9999999999999,37.6623321825242,-0.439960016784104,-0.178447385771744,0.018635602166805,34
5.3,97.9999999999999,37.5925612546743,-0.383394531534593,-0.140728786243415,0.0304258432460829,35
5.30241835694875,97.9999999999999,37.5623170333043,-0.309889334328465,-0.105627216051875,0.0434725427248885,36
5.30666488742236,97.9999999999999,37.5683304762436,-0.213764334173908,-0.0672922169687524,0.053233757400232,37
5.3057930331591,97.9999999999999,37.6073325413215,-0.0996395592573496,-0.025403167319638,0.0600099961477447,38
5.30004486274508,97.9999999999999,37.6760541863673,0.00770128992206409,0.00709675533862253,0.0590865823162421,39
5.29685293424565,97.9999999999999,37.7523565010086,0.122125396558461,0.0122231595945621,0.0548800498928941,40
5.29698501012107,97.9999999999999,37.8252928184725,0.212103512987365,4.60840107763261e-06,0.0464433193123988,41
5.29479110113524,97.9999999999999,37.948093988949,0.270965977713018,-0.0287513622228701,0.0341904854085779,42
5.29059811150523,97.9999999999999,38.114221928097,0.292956950626766,-0.0942368535085727,0.0213023235362577,43
5.2847329454481,97.9999999999999,38.3306637750261,0.276209490761077,-0.14066606032257,-0.00658880325613787,44
5.27752250718093,97.9999999999999,38.6122176065827,0.230979942379227,-0.207894268072295,-0.0299498180523878,45
5.26929370092076,97.9999999999999,38.8872190019056,0.141185165105751,-0.271135410046977,-0.0529180418686073,46
5.26037343088467,97.9999999999999,39.1523989188241,0.0158132137760356,-0.338187336637578,-0.0721062427719596,47
5.25108860128972,97.9999999999999,39.3460397547421,-0.133182993615684,-0.385145394961462,-0.0872221936274746,48
5.24176611635298,97.9999999999999,39.4671904575862,-0.287738614462882,-0.421868405729896,-0.0931951029352804,49
5.23273288029151,97.9999999999999,39.5290008690868,-0.424165504246089,-0.416457470104891,-0.0941954186741576,50
5.22431579732237,97.9999999999999,39.52073354117,-0.512017618061482,-0.396727405669751,-0.0812776778178472,51
5.21684177166263,97.9999999999999,39.4376648885436,-0.549935567333844,-0.352133190343654,-0.0653512990365162,52
5.21063770752936,97.9999999999999,39.3161298178505,-0.540948102935713,-0.302605424594848,-0.0436312512544053,53
5.20603050913961,97.9999999999999,39.2524413229355,-0.503488013380406,-0.265374861434104,-0.0199366000248524,54
